"department","course","section","author","bookImage","edition","isbn","title","publisher","price","forRent","print","subscriptionTime"
"ARH","2090","0001","Scarre","//bkstr.scene7.com/is/image/Bkstr/9780500293355","4th","9780500293355","Human Past","Thames & Hudson",82.13,true,true,
"ARH","2090","0001","Scarre","//bkstr.scene7.com/is/image/Bkstr/9780500293355","4th","9780500293355","Human Past","Thames & Hudson",43.8,true,true,
"ARH","2090","0001","Scarre","//bkstr.scene7.com/is/image/Bkstr/9780500293355","4th","9780500293355","Human Past","Thames & Hudson",109.5,false,true,
"ARH","2090","0001","Scarre","//bkstr.scene7.com/is/image/Bkstr/9780500293355","4th","9780500293355","Human Past","Thames & Hudson",82.25,false,true,
"ARH","2090","0001","Scarre","//bkstr.scene7.com/is/image/Bkstr/9780500841006","4th","9780500841006","The Human Past: World History & the Development of Human Societies (Fourth Edition)","W. W. Norton & Company, Incorporated",70,true,false,
"ARH","3130","0001","Neer","//bkstr.scene7.com/is/image/Bkstr/9780500288771","N/A","9780500288771","Greek Art & Archaeology","Thames & Hudson",46.4,true,true,
"ARH","3130","0001","Neer","//bkstr.scene7.com/is/image/Bkstr/9780500288771","N/A","9780500288771","Greek Art & Archaeology","Thames & Hudson",87,false,true,
"ARH","3854","0001","Molesworth","//bkstr.scene7.com/is/image/Bkstr/9780271023342","N/A","9780271023342","Work Ethic","Pennsylvania State University Press",34.95,false,true,
"ARH","4131","0001","Robertson","//bkstr.scene7.com/is/image/Bkstr/9780521338813","N/A","9780521338813","Art of Vase-Painting in Classical Athens","CAMBRIDGE UNIV PRESS",58.99,false,true,
"ARH","4131","0001","Pollitt","//bkstr.scene7.com/is/image/Bkstr/9780521096621","N/A","9780521096621","Art & Experience in Classical Greece","CAMBRIDGE UNIV PRESS",15.2,true,true,
"ARH","4131","0001","Pollitt","//bkstr.scene7.com/is/image/Bkstr/9780521096621","N/A","9780521096621","Art & Experience in Classical Greece","CAMBRIDGE UNIV PRESS",28.5,false,true,
"ARH","4331","0001","Silver","//bkstr.scene7.com/is/image/Bkstr/9780812221787","N/A","9780812221787","Essential Durer","University of Pennsylvania Press",29.95,false,true,
"ARH","4331","0001","Snyder","//bkstr.scene7.com/is/image/Bkstr/9780131895645","2nd","9780131895645","Northern Renaissance Art","Pearson",85.4,true,true,
"ARH","4331","0001","Snyder","//bkstr.scene7.com/is/image/Bkstr/9780131895645","2nd","9780131895645","Northern Renaissance Art","Pearson",160.25,false,true,
"ARH","4331","0001","Harbison","//bkstr.scene7.com/is/image/Bkstr/9780131833227","N/A","9780131833227","MIRROR OF THE ARTIST (P)","Pearson",24.95,false,true,
"ARH","4331","0001","Author Info Not Available","//bkstr.scene7.com/is/image/Bkstr/9780812206012","N/A","9780812206012","The Essential Durer","INGRAM",30.5,true,false,
"ARH","4675","0001","Tedlock","//bkstr.scene7.com/is/image/Bkstr/9780684818450","N/A","9780684818450","Popol Vuh (Rev & Exp)","Simon & Schuster",13.49,true,true,
"ARH","4675","0001","Tedlock","//bkstr.scene7.com/is/image/Bkstr/9780684818450","N/A","9780684818450","Popol Vuh (Rev & Exp)","Simon & Schuster",7.2,true,true,
"ARH","4675","0001","Tedlock","//bkstr.scene7.com/is/image/Bkstr/9780684818450","N/A","9780684818450","Popol Vuh (Rev & Exp)","Simon & Schuster",17.99,false,true,
"ARH","4675","0001","Tedlock","//bkstr.scene7.com/is/image/Bkstr/9780684818450","N/A","9780684818450","Popol Vuh (Rev & Exp)","Simon & Schuster",13.5,false,true,
"ARH","4675","0001","Martin","//bkstr.scene7.com/is/image/Bkstr/9780500287262","N/A","9780500287262","Chronicle of the Maya Kings & Queens","Thames & Hudson",10.78,true,true,
"ARH","4675","0001","Martin","//bkstr.scene7.com/is/image/Bkstr/9780500287262","N/A","9780500287262","Chronicle of the Maya Kings & Queens","Thames & Hudson",26.95,false,true,
"ARH","4675","0001","Martin","//bkstr.scene7.com/is/image/Bkstr/9780500287262","N/A","9780500287262","Chronicle of the Maya Kings & Queens","Thames & Hudson",20.25,false,true,
"ARH","4800","0002","Watts","//bkstr.scene7.com/is/image/Bkstr/9780826213792","N/A","9780826213792","Magic Kingdom","University of Missouri Press",22.46,true,true,
"ARH","4800","0002","Watts","//bkstr.scene7.com/is/image/Bkstr/9780826213792","N/A","9780826213792","Magic Kingdom","University of Missouri Press",11.98,true,true,
"ARH","4800","0002","Watts","//bkstr.scene7.com/is/image/Bkstr/9780826213792","N/A","9780826213792","Magic Kingdom","University of Missouri Press",29.95,false,true,
